"","Date","State","covid","mask","qanon","social distancing","vaccine","vaccine near me","cases","deaths","total_vaccinations","total_distributed","people_vaccinated","people_fully_vaccinated_per_hundred","total_vaccinations_per_hundred","people_fully_vaccinated","people_vaccinated_per_hundred","distributed_per_hundred","daily_vaccinations_raw","daily_vaccinations","daily_vaccinations_per_million","share_doses_used"
"44",2021-01-01,"Utah",34,20,0,0,7,0,276612,1269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2021-01-01,"Vermont",47,28,0,0,23,0,7412,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2021-01-01,"Virginia",46,13,0,0,17,0,354766,5081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2021-01-01,"Washington",54,18,4,0,22,4,246752,3461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2021-01-01,"West Virginia",57,29,0,0,36,21,87820,1361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2021-01-01,"Wisconsin",47,27,3,0,17,0,522523,5254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2021-01-01,"Wyoming",46,69,0,0,11,0,44409,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2021-01-02,"Alabama",39,15,0,0,15,4,369458,4872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2021-01-02,"Alaska",43,25,0,0,33,0,47821,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2021-01-02,"Arizona",67,22,0,7,19,3,539150,9061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2021-01-02,"Arkansas",53,28,0,0,12,0,231442,3729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2021-01-02,"California",69,28,NA,1,17,4,2415246,26696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2021-01-02,"Colorado",31,26,10,0,8,9,339172,4912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2021-01-02,"Connecticut",35,43,0,0,6,0,190120,6099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2021-01-02,"Delaware",24,38,0,0,4,0,58873,1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2021-01-02,"Florida",35,34,3,4,10,8,1354833,21890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2021-01-02,"Georgia",31,28,0,0,6,5,685122,10960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2021-01-02,"Hawaii",50,42,0,0,11,0,22448,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2021-01-02,"Idaho",46,19,12,0,7,0,142199,1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2021-01-02,"Illinois",41,18,3,0,11,0,975352,18217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2021-01-02,"Indiana",46,23,0,19,13,4,523090,9562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2021-01-02,"Iowa",31,15,0,0,10,0,283895,3946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2021-01-02,"Kansas",30,44,6,0,9,4,230119,2872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2021-01-02,"Kentucky",35,21,4,0,12,0,273970,2698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2021-01-02,"Louisiana",31,24,0,0,9,0,315275,7488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2021-01-02,"Maine",40,60,12,0,9,0,25245,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2021-01-02,"Maryland",42,21,2,0,9,1,283171,5967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2021-01-02,"Massachusetts",53,24,5,0,10,6,384181,12502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2021-01-02,"Michigan",29,19,8,24,8,5,538121,13306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2021-01-02,"Minnesota",35,28,0,0,6,0,417832,5436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2021-01-02,"Mississippi",31,10,0,0,4,21,220277,4840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2021-01-02,"Missouri",30,13,7,0,5,4,448387,5751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2021-01-02,"Montana",50,25,0,0,7,0,81944,971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2021-01-02,"Nebraska",48,2,0,0,8,0,168262,1669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2021-01-02,"Nevada",51,17,0,0,6,9,228871,3148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2021-01-02,"New Hampshire",61,18,0,0,13,0,46614,769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2021-01-02,"New Jersey",57,14,3,9,11,18,541202,19187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2021-01-02,"New Mexico",47,39,0,0,8,0,145379,2534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2021-01-02,"New York",57,43,0,3,11,3,1011665,38273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",2021-01-02,"North Carolina",56,39,4,6,12,6,558437,6892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",2021-01-02,"North Dakota",30,17,0,0,5,53,92891,1317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2021-01-02,"Ohio",48,36,2,11,9,5,714673,13804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",2021-01-02,"Oklahoma",40,24,0,0,12,6,296343,2527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",2021-01-02,"Oregon",35,35,0,0,10,0,116348,1492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",2021-01-02,"Pennsylvania",42,30,0,14,8,3,660580,16179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",2021-01-02,"Rhode Island",40,0,0,0,9,0,87949,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2021-01-02,"South Carolina",44,34,7,19,9,4,312718,5385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2021-01-02,"South Dakota",36,32,0,0,10,0,99829,1501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",2021-01-02,"Tennessee",44,21,8,0,14,15,604132,6970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2021-01-02,"Texas",42,18,2,2,12,13,1801181,28442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",2021-01-02,"Utah",38,21,0,0,8,0,281654,1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",2021-01-02,"Vermont",50,14,0,0,4,0,7689,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",2021-01-02,"Virginia",62,20,5,0,16,10,358755,5117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2021-01-02,"Washington",53,25,2,5,19,4,246752,3461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",2021-01-02,"West Virginia",69,11,11,0,33,0,89327,1373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",2021-01-02,"Wisconsin",42,20,0,0,14,5,523652,5256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",2021-01-02,"Wyoming",42,34,0,0,21,0,44573,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2021-01-03,"Alabama",45,26,0,0,12,0,371934,4873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",2021-01-03,"Alaska",64,11,0,0,13,0,48118,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2021-01-03,"Arizona",57,35,0,0,17,5,556384,9061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",2021-01-03,"Arkansas",47,10,0,20,13,8,233475,3749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2021-01-03,"California",65,26,1,0,15,3,2452262,26788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2021-01-03,"Colorado",35,35,0,0,7,3,341250,4934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",2021-01-03,"Connecticut",31,33,0,0,8,9,190120,6099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2021-01-03,"Delaware",32,46,0,0,3,0,59484,1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2021-01-03,"Florida",37,36,1,0,14,2,1365436,21987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2021-01-03,"Georgia",31,34,3,15,5,2,690900,10964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2021-01-03,"Hawaii",65,12,15,96,19,0,22560,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2021-01-03,"Idaho",46,54,12,80,15,15,142507,1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2021-01-03,"Illinois",47,26,1,8,17,0,979821,18322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2021-01-03,"Indiana",37,17,11,0,8,0,526071,9625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2021-01-03,"Iowa",38,23,13,0,10,0,284715,3946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",2021-01-03,"Kansas",33,29,0,0,6,0,230119,2872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2021-01-03,"Kentucky",33,21,4,0,11,0,276825,2723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2021-01-03,"Louisiana",31,45,0,0,9,0,321058,7537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2021-01-03,"Maine",39,47,0,0,6,0,25592,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2021-01-03,"Maryland",41,31,2,17,10,0,285319,5994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2021-01-03,"Massachusetts",59,19,10,30,10,3,387662,12610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2021-01-03,"Michigan",35,24,12,0,7,7,538121,13306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",2021-01-03,"Minnesota",34,31,7,0,6,4,420544,5489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2021-01-03,"Mississippi",32,19,0,0,6,10,222061,4871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2021-01-03,"Missouri",32,21,0,0,6,8,451605,5770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2021-01-03,"Montana",51,29,0,0,7,0,82381,972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2021-01-03,"Nebraska",36,14,15,0,6,0,169000,1672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2021-01-03,"Nevada",43,14,0,0,6,0,231614,3180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2021-01-03,"New Hampshire",55,15,0,0,10,0,47376,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",2021-01-03,"New Jersey",54,14,8,8,13,6,545450,19208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",2021-01-03,"New Mexico",52,91,0,0,15,0,146394,2551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",2021-01-03,"New York",59,41,2,0,12,6,1023897,38415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2021-01-03,"North Carolina",53,39,4,0,10,9,564924,6910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",2021-01-03,"North Dakota",40,35,0,0,11,0,93041,1317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",2021-01-03,"Ohio",47,37,2,0,9,10,721481,13938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2021-01-03,"Oklahoma",41,25,0,30,6,0,304375,2547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",2021-01-03,"Oregon",48,32,8,0,9,9,117745,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",2021-01-03,"Pennsylvania",37,35,3,7,8,1,664913,16230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
