"","state","term","outcome","croscor","lagd"
"82","Alabama","qanon","daily_vaccinations_per_million",2.01364854789321e-05,-8
"83","Alabama","qanon","daily_vaccinations_per_million",-0.12023550333942,-7
"84","Alabama","qanon","daily_vaccinations_per_million",0.11404561878026,-6
"85","Alabama","qanon","daily_vaccinations_per_million",-0.0699345125056611,-5
"86","Alabama","qanon","daily_vaccinations_per_million",0.0334332366477328,-4
"87","Alabama","qanon","daily_vaccinations_per_million",-0.109488271132408,-3
"88","Alabama","qanon","daily_vaccinations_per_million",0.0104406707963315,-2
"89","Alabama","qanon","daily_vaccinations_per_million",-0.144190152814083,-1
"90","Alabama","qanon","daily_vaccinations_per_million",0.0782074953490688,0
"91","Alabama","social distancing","daily_vaccinations",-0.0282819056761363,-14
"92","Alabama","social distancing","daily_vaccinations",0.0776148552216248,-13
"93","Alabama","social distancing","daily_vaccinations",0.0416993677218799,-12
"94","Alabama","social distancing","daily_vaccinations",-0.00408695015444975,-11
"95","Alabama","social distancing","daily_vaccinations",-0.0490329208421493,-10
"96","Alabama","social distancing","daily_vaccinations",-0.0983974471516473,-9
"97","Alabama","social distancing","daily_vaccinations",-0.0805059097533189,-8
"98","Alabama","social distancing","daily_vaccinations",-0.0342847411035344,-7
"99","Alabama","social distancing","daily_vaccinations",-0.187676836692855,-6
"100","Alabama","social distancing","daily_vaccinations",0.0163558412940858,-5
"101","Alabama","social distancing","daily_vaccinations",-0.0379454043057105,-4
"102","Alabama","social distancing","daily_vaccinations",-0.0935273031943609,-3
"103","Alabama","social distancing","daily_vaccinations",0.176110557573665,-2
"104","Alabama","social distancing","daily_vaccinations",0.0768871440302738,-1
"105","Alabama","social distancing","daily_vaccinations",0.126192592823008,0
"106","Alabama","social distancing","daily_vaccinations_per_million",-0.0281874886164362,-14
"107","Alabama","social distancing","daily_vaccinations_per_million",0.0771225630022901,-13
"108","Alabama","social distancing","daily_vaccinations_per_million",0.042411769996592,-12
"109","Alabama","social distancing","daily_vaccinations_per_million",-0.00443119738586508,-11
"110","Alabama","social distancing","daily_vaccinations_per_million",-0.0486370414745011,-10
"111","Alabama","social distancing","daily_vaccinations_per_million",-0.0983881053895936,-9
"112","Alabama","social distancing","daily_vaccinations_per_million",-0.0806808696516466,-8
"113","Alabama","social distancing","daily_vaccinations_per_million",-0.0338112992833174,-7
"114","Alabama","social distancing","daily_vaccinations_per_million",-0.18805083899736,-6
"115","Alabama","social distancing","daily_vaccinations_per_million",0.0166352687215099,-5
"116","Alabama","social distancing","daily_vaccinations_per_million",-0.0379331303923451,-4
